Suburb,Crimes
Aranda,125
Belconnen,656
Bruce,202
Charnwood,87
Cook,82
Dunlop,73
Evatt,105
Florey,144
Flynn,33
Fraser,46
Giralang,53
Hawker,100
Higgins,55
Holt,219
Kaleen,106
Latham,78
Lawson,28
Macgregor,78
Macquarie,117
McKellar,32
Melba,80
Page,64
Scullin,56
Spence,55
Weetangera,38
Amaroo,43
Bonner,43
Casey,75
Crace,33
Forde,27
Franklin,101
Gungahlin,293
Hall,13
Harrison,107
Mitchell,138
Ngunnawal,95
Nicholls,82
Palmerston,74
Acton,142
Ainslie,131
Braddon,232
Campbell,79
City,925
Dickson,200
Downer,35
Hackett,80
Lyneham,232
Majura,49
O'Connor,154
Parkes,45
Reid,163
Turner,99
Watson,143
Deakin,101
Forrest,30
Griffith,183
Narrabundah,113
Red Hill,63
Yarralumla,98
Chapman,20
Duffy,28
Fisher,27
Holder,30
Rivett,49
Stirling,29
Waramanga,34
Weston,101
Molonglo,4
Chifley,55
Curtin,116
Farrer,17
Garran,99
Hughes,39
Isaacs,23
Lyons,125
Mawson,84
O'Malley,13
Pearce,19
Phillip,300
Torrens,11
Banks,36
Bonython,84
Calwell,92
Chisholm,110
Conder,76
Fadden,40
Gilmore,46
Gordon,102
Gowrie,59
Greenway,291
Isabella Plains,60
Kambah,391
Macarthur,13
Monash,51
Oxley,24
Richardson,96
Theodore,32
Wanniassa,262
Hume,62
