Suburb,population
Aranda,2505
Belconnen,2867
Bruce,7785
Charnwood,3032
Cook,2821
Dunlop,7398
Evatt,5332
Kowen,40
Florey,5033
Flynn,3466
Fraser,2128
Giralang,3320
Gooromon,4
Hawker,2841
Higgins,2988
Holt,4829
Kaleen,7505
Majura,253
Latham,3419
Lawson,803
Macgregor,6640
Macquarie,2747
McKellar,2874
Melba,3166
Page,2903
Hall,339
Scullin,2838
Spence,2564
Weetangera,2578
ACT South West,6470
Molonglo,718
Namadgi,31
Mitchell,9
ACT East,868
Hume,320
Amaroo,5913
Bonner,5436
Casey,5024
Crace,4279
Forde,4552
Franklin,6653
Harrison,9005
Ngunnawal,10623
Nicholls,6760
Palmerston,5623
Acton,2325
Ainslie,5321
Braddon,6011
Lake Burley Griffin,0
Campbell,5769
Civic,3995
Dickson,2351
Downer,3705
Hackett,2877
Parkes,0
Lyneham,5038
O'Connor,5699
Reid,1826
Turner,4127
Watson,6326
Deakin,2728
Forrest,1655
Griffith,4308
Narrabundah,6176
Red Hill,3257
Yarralumla,2840
Banks,4888
Bonython,3698
Calwell,5605
Chisholm,5145
Conder,5029
Fadden,3012
Gilmore,2724
Gordon,7626
Gowrie,2969
Greenway,1903
Isabella Plains,4331
Kambah,14874
Macarthur,1425
Monash,5317
Mount Taylor,3
Oxley,1723
Richardson,2930
Theodore,3828
Tuggeranong,31
Wanniassa,7458
Chapman,2595
Duffy,3083
Fisher,2894
Holder,2545
Rivett,2893
Stirling,1989
Waramanga,2373
Weston,3354
Chifley,2732
Curtin,5313
Farrer,3422
Garran,3417
Hughes,2968
Isaacs,2331
Lyons,3186
Mawson,3055
O'Malley,974
Pearce,2468
Phillip,2444
Torrens,2165
Gungahlin,2867
Barton,2867
Kingston,2867
