Suburb,population,schools,Skate_Parks,Sport_Grounds,Playgrounds,Basketball_Courts,crimes,Suburb.1,bus_to_TC,closest_TC,time_to_Hospital,closest_Hospital,Recreation&Fitness,crimesPP,Bus_Stops,Fitness_Sites,Unemployment,Transport,Education,Livability
Aranda,2505,3,0,2,0,0,125,Aranda,8.25,"Belconnen Bus Depot, ACT",6.3,"Calvary Hospital, ACT",0.5,0.05389221556886228,14,0,4.1,0.01993674480595773,25.03188343493605,94.20521753196658
Belconnen,2867,1,1,1,3,1,656,Belconnen,4.166666666666667,"Belconnen Bus Depot, ACT",10.216666666666667,"Calvary Hospital, ACT",0.75,0.23229856993372863,51,24,3.7,0.033392350981080475,16.536730711328293,92.09960015615665
Bruce,7785,1,0,0,0,0,202,Bruce,5.116666666666666,"Belconnen Bus Depot, ACT",4.75,"Calvary Hospital, ACT",0.5,0.02723185613359024,40,0,4.1,0.025754446274807965,16.644454711101506,93.74462631764494
Charnwood,3032,5,1,2,0,1,87,Charnwood,9.683333333333334,"Belconnen Bus Depot, ACT",14.383333333333333,"Calvary Hospital, ACT",0.6,0.03199208443271768,20,0,4.2,0.03027421703964589,33.226542896018515,94.85160178594921
Cook,2821,0,0,1,1,0,82,Cook,5.916666666666668,"Belconnen Bus Depot, ACT",8.1,"Calvary Hospital, ACT",0.55,0.032612548741581,14,4,4.1,0.018687576348275305,12.719105401250838,94.35884019356745
Dunlop,7398,0,0,0,1,1,73,Dunlop,10.566666666666666,"Belconnen Bus Depot, ACT",15.25,"Calvary Hospital, ACT",0.6,0.011219248445525817,29,0,4.2,0.035608363210753634,13.24638603171972,94.24746176112012
Evatt,5332,5,0,2,2,1,105,Evatt,8.366666666666667,"Belconnen Bus Depot, ACT",11.833333333333336,"Calvary Hospital, ACT",0.65,0.021567891972993247,36,0,3.7,0.03330927434028852,33.07724121212231,95.17924384219519
Kowen,40,0,0,0,0,0,0,Kowen,36.45,"City Bus Station, ACT",24.766666666666666,"Queanbeyan District Hospital, NSW",0.5,0.25,0,0,4.1,0.06054933738302667,16.18139255185655,91.97912872254872
Florey,5033,4,0,1,1,0,144,Florey,5.216666666666667,"Belconnen Bus Depot, ACT",11.583333333333336,"Calvary Hospital, ACT",0.55,0.030598052851182198,33,0,3.1,0.028323381249521634,28.70398685058302,95.25352438960614
Flynn,3466,1,1,1,0,1,33,Flynn,8.533333333333333,"Belconnen Bus Depot, ACT",12.7,"Calvary Hospital, ACT",0.6,0.012406231967686093,22,0,4.3,0.028477370086960413,17.031883131338496,94.7267746112399
Fraser,2128,2,0,0,1,0,46,Fraser,12.5,"Belconnen Bus Depot, ACT",16.116666666666667,"Calvary Hospital, ACT",0.55,0.02631578947368421,32,0,4.2,0.03969312679679019,21.497742334788096,94.97102891298806
Giralang,3320,2,0,2,0,0,53,Giralang,10.033333333333333,"Belconnen Bus Depot, ACT",9.966666666666667,"Calvary Hospital, ACT",0.5,0.01897590361445783,30,0,3.7,0.03131073959477913,21.218037914324317,95.08005187327628
Gooromon,4,0,0,0,0,0,0,Gooromon,16.483333333333334,Marketplace Gungahlin,20.466666666666665,"Calvary Hospital, ACT",0.5,2.5,0,0,4.1,0.03457187519232165,13.917298661886221,69.29523123315978
Hawker,2841,4,0,3,1,0,100,Hawker,5.233333333333333,"Belconnen Bus Depot, ACT",9.95,"Calvary Hospital, ACT",0.55,0.03871876099964801,24,0,4.1,0.02341489423653965,28.705876745315887,94.5906663277176
Higgins,2988,0,0,1,0,0,55,Higgins,7.133333333333334,"Belconnen Bus Depot, ACT",11.85,"Calvary Hospital, ACT",0.5,0.02175368139223561,34,0,4.3,0.03111034574319575,12.857067716749864,94.46740708227657
Holt,4829,5,1,4,1,0,219,Holt,8.9,"Belconnen Bus Depot, ACT",13.766666666666667,"Calvary Hospital, ACT",0.6,0.04742182646510665,51,3,4.3,0.041514223576611574,33.13771784357394,94.4128129164935
Kaleen,7505,7,0,4,0,0,106,Kaleen,10.066666666666666,"Belconnen Bus Depot, ACT",8.366666666666667,"Calvary Hospital, ACT",0.5,0.015456362425049967,37,4,3.7,0.032953726095495094,41.30213898893061,94.81228471755409
Majura,253,0,0,0,0,0,49,Majura,24.61666666666667,"City Bus Station, ACT",25.83333333333333,"Queanbeyan District Hospital, NSW",0.5,0.233201581027668,3,0,2.2,0.04917875760542574,14.83956729152355,93.5200441873232
Latham,3419,2,0,1,1,0,78,Latham,7.75,"Belconnen Bus Depot, ACT",14.116666666666667,"Calvary Hospital, ACT",0.55,0.02573852003509798,32,0,4.3,0.032755055509989216,20.959122335922036,94.5712449574265
Lawson,803,0,0,0,1,0,28,Lawson,12.466666666666667,"Belconnen Bus Depot, ACT",10.183333333333334,"Calvary Hospital, ACT",0.55,0.047322540473225407,10,0,3.1,0.026104717739474502,13.461834031266147,95.38459141677929
Macgregor,6642,2,0,1,0,1,78,Macgregor,9.6,"Belconnen Bus Depot, ACT",15.683333333333335,"Calvary Hospital, ACT",0.55,0.01324902137910268,37,0,4.2,0.03810181806932343,21.16890065126987,94.42345472976248
Macquarie,2747,3,0,2,1,0,117,Macquarie,4.916666666666667,"Belconnen Bus Depot, ACT",7.383333333333334,"Calvary Hospital, ACT",0.55,0.046232253367309795,20,0,4.1,0.019437568560165434,24.653904488363374,94.35570598666783
McKellar,2874,0,0,1,0,0,32,McKellar,8.166666666666666,"Belconnen Bus Depot, ACT",10.433333333333334,"Calvary Hospital, ACT",0.5,0.014613778705636743,22,0,3.7,0.02630280577450475,12.974241190187394,95.00858364928713
Melba,3166,4,0,3,1,0,80,Melba,8.583333333333334,"Belconnen Bus Depot, ACT",12.75,"Calvary Hospital, ACT",0.55,0.028427037271004423,35,0,4.2,0.0338595656227459,29.085745586621425,94.79792078611983
Page,2903,1,0,1,0,0,64,Page,3.6,"Belconnen Bus Depot, ACT",9.183333333333334,"Calvary Hospital, ACT",0.5,0.02549087151222873,14,0,4.1,0.01690121962275456,16.472474290410936,94.4114088274904
Hall,339,1,0,1,1,0,13,Hall,12.7,Marketplace Gungahlin,16.683333333333334,"Calvary Hospital, ACT",0.55,0.06784660766961652,0,0,2.7,0.027346190943072963,17.504356814554342,95.53649390207183
Scullin,2838,3,0,1,0,0,56,Scullin,5.7666666666666675,"Belconnen Bus Depot, ACT",11.183333333333335,"Calvary Hospital, ACT",0.5,0.023255813953488372,16,0,4.1,0.021723292829209,24.750289119739406,94.66869871130147
Spence,2564,2,0,1,1,0,55,Spence,8.966666666666667,"Belconnen Bus Depot, ACT",12.45,"Calvary Hospital, ACT",0.55,0.02535101404056162,25,0,4.3,0.029994766938624903,21.09708465142106,94.67293585534303
Weetangera,2578,2,0,1,0,0,38,Weetangera,3.816666666666667,"Belconnen Bus Depot, ACT",8.533333333333333,"Calvary Hospital, ACT",0.5,0.018619084561675717,16,0,4.1,0.01745588652172289,20.513107178966276,94.64827912552443
Molonglo,718,0,0,0,0,0,4,Molonglo,11.616666666666667,"City Bus Station, ACT",8.95,"Calvary Hospital, ACT",0.5,0.019498607242339833,0,0,3.1,0.020117190347235782,13.365449399890114,95.66890758642917
Namadgi,31,0,0,0,0,0,0,Namadgi,14.05,"Tuggeranong Bus Station, ACT",24.43333333333333,"Canberra Hospital, ACT",0.5,0.3225806451612903,0,0,4.1,0.03489050695698612,13.641374030888167,90.40450057053724
Mitchell,9,0,0,0,0,0,138,Mitchell,8.733333333333333,Marketplace Gungahlin,11.9,"Calvary Hospital, ACT",0.5,16.444444444444443,13,0,3.1,0.02442338453548521,13.038497611104749,64.83958851596978
