Suburb,population,schools,Skate_Parks,Sport_Grounds,Playgrounds,Basketball_Courts,crimes,Suburb.1,time_to_TC,closest_TC,time_to_Hospital,closest_Hospital,Recreation&Fitness,crimesPP,Bus_Stops,Fitness_Sites,Unemployment,Transport,Education,Livability,Crime_pred,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4
Aranda,2505,3,0,2,0,0,125,Aranda,8.25,"Belconnen Bus Depot, ACT",6.3,"Calvary Hospital, ACT",0.5,0.05389221556886228,14,0,4.1,0.01993674480595773,25.03188343493605,94.20521753196658,0,125.04411764705883,120.08823529411764,115.13235294117646,110.17647058823529,105.22058823529412,100.26470588235294,95.30882352941177
Belconnen,2867,1,1,1,3,1,656,Belconnen,4.166666666666667,"Belconnen Bus Depot, ACT",10.216666666666667,"Calvary Hospital, ACT",0.75,0.23229856993372863,51,24,3.7,0.033392350981080475,16.536730711328293,92.09960015615665,0,616.9926470588235,609.6519607843137,602.311274509804,594.9705882352941,587.6299019607843,580.2892156862745,572.9485294117646
Bruce,7785,1,0,0,0,0,202,Bruce,5.116666666666666,"Belconnen Bus Depot, ACT",4.75,"Calvary Hospital, ACT",0.5,0.02723185613359024,40,0,4.1,0.025754446274807965,16.644454711101506,93.74462631764494,0,207.63970588235298,204.00490196078437,200.37009803921575,196.7352941176471,193.10049019607848,189.46568627450984,185.83088235294122
Charnwood,3032,5,1,2,0,1,87,Charnwood,9.683333333333334,"Belconnen Bus Depot, ACT",14.383333333333333,"Calvary Hospital, ACT",0.6,0.03199208443271768,20,0,4.2,0.03027421703964589,33.226542896018515,94.85160178594921,0,94.1691176470588,93.88725490196076,93.60539215686272,93.32352941176468,93.04166666666664,92.7598039215686,92.47794117647057
Cook,2821,0,0,1,1,0,82,Cook,5.916666666666668,"Belconnen Bus Depot, ACT",8.1,"Calvary Hospital, ACT",0.55,0.032612548741581,14,4,4.1,0.018687576348275305,12.719105401250838,94.35884019356745,0,102.5514705882353,106.10294117647061,109.65441176470588,113.20588235294119,116.75735294117649,120.30882352941177,123.86029411764707
Dunlop,7398,0,0,0,1,1,73,Dunlop,10.566666666666666,"Belconnen Bus Depot, ACT",15.25,"Calvary Hospital, ACT",0.6,0.011219248445525817,29,0,4.2,0.035608363210753634,13.24638603171972,94.24746176112012,0,78.0,78.05882352941175,78.11764705882352,78.17647058823529,78.23529411764706,78.29411764705881,78.35294117647058
Evatt,5332,5,0,2,2,1,105,Evatt,8.366666666666667,"Belconnen Bus Depot, ACT",11.833333333333336,"Calvary Hospital, ACT",0.65,0.021567891972993247,36,0,3.7,0.03330927434028852,33.07724121212231,95.17924384219519,0,70.72058823529412,68.61764705882351,66.51470588235293,64.41176470588235,62.308823529411754,60.20588235294117,58.10294117647058
Kowen,40,0,0,0,0,0,0,Kowen,36.45,"City Bus Station, ACT",24.766666666666666,"Queanbeyan District Hospital, NSW",0.5,0.25,0,0,4.1,0.06054933738302667,16.18139255185655,91.97912872254872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florey,5033,4,0,1,1,0,144,Florey,5.216666666666667,"Belconnen Bus Depot, ACT",11.583333333333336,"Calvary Hospital, ACT",0.55,0.030598052851182198,33,0,3.1,0.028323381249521634,28.70398685058302,95.25352438960614,0,126.22058823529413,126.36274509803923,126.50490196078432,126.64705882352942,126.78921568627452,126.93137254901961,127.07352941176471
Flynn,3466,1,1,1,0,1,33,Flynn,8.533333333333333,"Belconnen Bus Depot, ACT",12.7,"Calvary Hospital, ACT",0.6,0.012406231967686093,22,0,4.3,0.028477370086960413,17.031883131338496,94.7267746112399,0,38.544117647058826,38.77450980392157,39.004901960784316,39.23529411764706,39.46568627450981,39.69607843137255,39.9264705882353
