Suburb,population,schools,Skate_Parks,Sport_Grounds,Playgrounds,Basketball_Courts,crimes,Suburb,bus_to_TC,closest_TC,time_to_Hospital,closest_Hospital
Aranda,2505,3,0,2,0,0,125,Aranda,8.25,"Belconnen Bus Depot, ACT",6.3,"Calvary Hospital, ACT"
Belconnen,2867,1,1,1,3,1,656,Belconnen,4.166666666666667,"Belconnen Bus Depot, ACT",10.216666666666667,"Calvary Hospital, ACT"
Bruce,7785,1,0,0,0,0,202,Bruce,5.116666666666666,"Belconnen Bus Depot, ACT",4.75,"Calvary Hospital, ACT"
Charnwood,3032,5,1,2,0,1,87,Charnwood,9.683333333333334,"Belconnen Bus Depot, ACT",14.383333333333333,"Calvary Hospital, ACT"
Cook,2821,0,0,1,1,0,82,Cook,5.916666666666667,"Belconnen Bus Depot, ACT",8.1,"Calvary Hospital, ACT"
Dunlop,7398,0,0,0,1,1,73,Dunlop,10.566666666666666,"Belconnen Bus Depot, ACT",15.25,"Calvary Hospital, ACT"
Evatt,5332,5,0,2,2,1,105,Evatt,8.366666666666667,"Belconnen Bus Depot, ACT",11.833333333333334,"Calvary Hospital, ACT"
Kowen,40,0,0,0,0,0,0,Kowen,36.45,"City Bus Station, ACT",24.766666666666666,"Queanbeyan District Hospital, NSW"
Florey,5033,4,0,1,1,0,144,Florey,5.216666666666667,"Belconnen Bus Depot, ACT",11.583333333333334,"Calvary Hospital, ACT"
Flynn,3466,1,1,1,0,1,33,Flynn,8.533333333333333,"Belconnen Bus Depot, ACT",12.7,"Calvary Hospital, ACT"
Fraser,2128,2,0,0,1,0,46,Fraser,12.5,"Belconnen Bus Depot, ACT",16.116666666666667,"Calvary Hospital, ACT"
Giralang,3320,2,0,2,0,0,53,Giralang,10.033333333333333,"Belconnen Bus Depot, ACT",9.966666666666667,"Calvary Hospital, ACT"
Gooromon,4,0,0,0,0,0,0,Gooromon,16.483333333333334,Marketplace Gungahlin,20.466666666666665,"Calvary Hospital, ACT"
Hawker,2841,4,0,3,1,0,100,Hawker,5.233333333333333,"Belconnen Bus Depot, ACT",9.95,"Calvary Hospital, ACT"
Higgins,2988,0,0,1,0,0,55,Higgins,7.133333333333334,"Belconnen Bus Depot, ACT",11.85,"Calvary Hospital, ACT"
Holt,4829,5,1,4,1,0,219,Holt,8.9,"Belconnen Bus Depot, ACT",13.766666666666667,"Calvary Hospital, ACT"
Kaleen,7505,7,0,4,0,0,106,Kaleen,10.066666666666666,"Belconnen Bus Depot, ACT",8.366666666666667,"Calvary Hospital, ACT"
Majura,253,0,0,0,0,0,49,Majura,24.616666666666667,"City Bus Station, ACT",25.833333333333332,"Queanbeyan District Hospital, NSW"
Latham,3419,2,0,1,1,0,78,Latham,7.75,"Belconnen Bus Depot, ACT",14.116666666666667,"Calvary Hospital, ACT"
Lawson,803,0,0,0,1,0,28,Lawson,12.466666666666667,"Belconnen Bus Depot, ACT",10.183333333333334,"Calvary Hospital, ACT"
Macgregor,6642,2,0,1,0,1,78,Macgregor,9.6,"Belconnen Bus Depot, ACT",15.683333333333334,"Calvary Hospital, ACT"
